ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
52,Inicio,02/04/2023,03/04/2023,2,0,0,,,1,,,,,
2,Investigacion y prototipado,04/04/2023,12/06/2023,70,0,0,,,2,,,"#000000",,
10,"  POC de plataforma base",04/04/2023,13/04/2023,10,0,0,,52,2.1,,,,,
11,"  POC e integración de sensor de temperatura y humedad en plataforma base",14/04/2023,23/04/2023,10,0,0,,10,2.2,,,,,
12,"  POC e integración de sensor de luminosidad",24/04/2023,03/05/2023,10,0,0,,11,2.3,,,,,
13,"  POC e integración de sensor de presión ambiental",04/05/2023,13/05/2023,10,0,0,,12,2.4,,,,,
14,"  POC e integración de motores en plataforma base",14/05/2023,23/05/2023,10,0,0,,13,2.5,,,,,
15,"  POC e integración de joystick",24/05/2023,02/06/2023,10,0,0,,14,2.6,,,,,
16,"  POC e integración de display",03/06/2023,12/06/2023,10,0,0,,15,2.7,,,,,
5,Diseño y desarrollo de funcionalidades,13/06/2023,22/08/2023,71,0,0,,2,3,,,,,
20,"  Diseño del framework de orquestascion de componentes",13/06/2023,22/06/2023,10,0,0,,16,3.1,,,,,
21,"  Desarrollo de funcionalidad de medición de temperatura y humedad",23/06/2023,30/06/2023,8,0,0,,20,3.2,,,,,
22,"  Desarrollo de funcionalidad de medición de presión ambiental",01/07/2023,09/07/2023,9,0,0,,21,3.3,,,,,
26,"  Desarrollo de funcionalidad de escritura y formato de valores en el display",10/07/2023,19/07/2023,10,0,0,,22,3.4,,,,,
25,"  Desarrollo de funcionalidad de medicion de comandos en el joystick analógico",20/07/2023,29/07/2023,10,0,0,,26,3.5,,,,,
24,"  Desarrollo de funcionalidad de medición de desplazamiento",30/07/2023,10/08/2023,12,0,0,,25,3.6,,,,,
23,"  Desarrollo de funcionalidad de medición de luminosidad",11/08/2023,22/08/2023,12,0,0,,24,3.7,,,,,
6,Testing,23/08/2023,01/10/2023,40,0,0,,,4,,,"#000000",,
27,"  tests de integración de sensores",23/08/2023,01/09/2023,10,0,0,,23,4.1,,,,,
28,"  tests de integración de display",02/09/2023,11/09/2023,10,0,0,,27,4.2,,,,,
29,"  tests de integración de joystick",12/09/2023,21/09/2023,10,0,0,,28,4.3,,,,,
30,"  tests de integración de motores",22/09/2023,01/10/2023,10,0,0,,29,4.4,,,,,
7,Ensamblado del hardware,04/04/2023,05/05/2023,32,0,0,,,5,,,,,
31,"  joystick",04/04/2023,17/04/2023,14,0,0,,52,5.1,,,,,
32,"  robot",18/04/2023,05/05/2023,18,0,0,,31,5.2,,,,,
9,Documentación,04/04/2023,10/06/2023,68,0,0,,,6,,,,,
33,"  manual de usuario",04/04/2023,13/04/2023,10,0,0,,52,6.1,,,,,
34,"  documentación de arquitectura técnica del sistema",14/04/2023,23/04/2023,10,0,0,,33,6.2,,,,,
35,"  documentación técnica de diseño de software",24/04/2023,03/05/2023,10,0,0,,34,6.3,,,,,
36,"  documentación técnica de diseño de hardware",04/05/2023,13/05/2023,10,0,0,,35,6.4,,,,,
37,"  video demostrativo de uso",14/05/2023,19/05/2023,6,0,0,,36,6.5,,,,,
38,"  informe de avance",20/05/2023,25/05/2023,6,0,0,,37,6.6,,,,,
39,"  memoria final",26/05/2023,10/06/2023,16,0,0,,38,6.7,,,,,
3,Set-up ambiente de integración continua,11/06/2023,25/06/2023,15,0,0,,,7,,,,,
17,"  Set-up imagen Docker con codigo de proyecto",11/06/2023,15/06/2023,5,0,0,,39,7.1,,,,,
18,"  Set-up servicio de integración continua cloud",16/06/2023,20/06/2023,5,0,0,,17,7.2,,,,,
19,"  Configuracion con Github para tomar los commits y ejecutar los builds",21/06/2023,25/06/2023,5,0,0,,18,7.3,,,,,
8,Funcionalidades extras (actividad opcional),26/06/2023,14/08/2023,50,0,0,,,8,,,"#000000",,
40,"  POC comunicación inalámbrica",26/06/2023,20/07/2023,25,0,0,,19,8.1,,,,,
41,"  POC dispositivo de video camara integrada",21/07/2023,14/08/2023,25,0,0,,40,8.2,,,,,
43,Adquisicion de materiales,04/04/2023,23/04/2023,20,0,0,,,9,,,"#000000",,
44,"  Analisis y seleccion de materiales y proveedores",04/04/2023,13/04/2023,10,0,0,,52,9.1,,,,,
45,"  Compra de materiales",14/04/2023,23/04/2023,10,0,0,,44,9.2,,,,,
42,Gestion del proyecto,04/04/2023,30/09/2023,180,0,0,,,10,,,"#000000",,
46,"  Definicion de alcance, funcionalidades e historias de usuario",04/04/2023,09/04/2023,6,0,0,,52,10.1,,,,,
47,"  Armado del plan de actividades y tareas",10/04/2023,14/04/2023,5,0,0,,46,10.2,,,,,
48,"  Reconocimiento de riesgos",15/04/2023,20/04/2023,6,0,0,,47,10.3,,,,,
49,"  Definicion de proceso de calidad",21/04/2023,26/04/2023,6,0,0,,48,10.4,,,,,
50,"  Confeccion de documentacion de planificacion del proyecto",27/04/2023,03/05/2023,7,0,0,,49,10.5,,,,,
51,"  Seguimiento y control de hitos, desvios y riesgos",04/05/2023,30/09/2023,150,0,0,,50,10.6,,,,,


ID,Name,Default role,e-mail,Phone,Standard rate,Total cost,Total load
0,Gonzalo,Default:0,,,0,0,0.0
